cardinal,total_sibs,birth_order,source
"(140) 10. CAVAGNIS, Felice",,1,
"(151) 14. RIVERA CARRERA, Norberto",>1,,
"(38) 5. INNOCENTI, Antonio",1,1,
"(5) 2. BONCOMPAGNI-LUDOVISI, Ignazio (1743-1790)",9,7,fiu_scrape
"(28) 5. COLONNA, Giovanni (1456-1508)","","",fiu_scrape
"(25) 7. SAULI, Bandinello (ca. 1494-1518)",6,4,fiu_scrape
"TRIE, Guillaume de (?-1334)","","",fiu_scrape
"(37) 10. BORJA Y ARAGÓN, Enrique de (1518-1540)",>1,"",fiu_scrape
"(6) 4. GONZÁLEZ DE MENDOZA, Pedro (1428-1495)","",5,fiu_scrape
"(178) 19. BAČKIS, Audrys Juozas",2,2,
"(14) 1. WARTENBERG, Franz Wilhelm von (1593-1661)",>1,1,fiu_scrape
"(41) 25. SLUSE, Johannes Walter (1628-1687)",>1,>1,fiu_scrape
"(2) 2. AICARDI VISCONTI, Bartolomeo (1402-1457)",>1,"",fiu_scrape
"(4) 3. CARAFA, Diomede (1492-1560)",4,2,fiu_scrape
(1626-1700),"","",fiu_scrape
"(7) 5. DU BELLAY, Jean (1492-1560)",4,2,fiu_scrape
"(39) 6. GUALTERIO, Carlo (1613-1673)","","",fiu_scrape
"(21) 10. CRISTALDI, Belisario (1764-1831)",4,4,
"(51) 4. MARINI, Carlo Maria (1677-1747)","","",fiu_scrape
"(69) 8. BARRETO JIMENO, S.J., Pedro Ricardo",6,2,fiu_scrape
"(48) 10. DE PAOLIS, C.S., Velasio",5,"",fiu_scrape
"(44) 5. PUCCI, Roberto (1464-1547)","","",fiu_scrape
"JEŻ, Ignacy Ludwik","","",fiu_scrape
"(4) 4. GIROLAMI, Raffaele Cosimo de' (1670-1748)",2,2,fiu_scrape
"(24) 16. PASSERINI, Silvio (1469-1529)",7,3,fiu_scrape
"(174) 15. AGNELO, Geraldo Majella",8,3,
"(198) 39. HONORÉ, Jean",8,8,
"(74) 3. HINSLEY, Arthur",4,2,
"(88) 4. ONAIYEKAN, John Olorunfemi","","",fiu_scrape
"(20) 15. GIUSTINIANI, O.P., Vincenzo (1519-1582)","","",fiu_scrape
"(37) 4. FRESNO LARRAÍN, Juan Francisco",5,4,
"(18) 3. LAJOLO, Giovanni","","",fiu_scrape
"(3) 3. ROSPIGLIOSI, Giulio (1600-1669)","","",fiu_scrape
"(48) 7. MAZZELLA, S.J., Camillo",,,
"(19) 5. AGUILAR FERNÁNDEZ DE CÓRDOBA, Alfonso (1653-1699)","",2,fiu_scrape
"(29) 14. GRACIAS, Oswald","","",fiu_scrape
"(3) 3. CASTELNAU DE CLERMONT-LUDÈVE, François Guillaume de (1480-1541)","",4,fiu_scrape
"(23) 5. JACOBINI, Angelo",,,
"(8) 7. LANTE, Marcello (1561-1652)",9,7,fiu_scrape
"(31) 4. GAMBARA, Uberto (1489-1549)",7,1,fiu_scrape
"(63) 1. RUFFO, Fabrizio (1744-1827)",10,2,fiu_scrape
"(7) 2. ALTIERI, Emilio Bonaventura (1590-1676)","","",fiu_scrape
"(179) 20. ERRÁZURIZ OSSA, of the Institute of the Fathers of Schönstatt, Francisco Javier",6,2,
"(59) 9. PIGNATELLI, Stefano (1578-1623)",3,"",fiu_scrape
"(42) 1. LUDOVISI, Alessandro (1554-1623)","",3,fiu_scrape
"(1) 1. ALTIERI, iuniore, Giambattista (1673-1740)","","",fiu_scrape
"(25) 2. SANVITALE, Antonio Francesco (1660-1714)","","",fiu_scrape
"(15) 1. CORNARO, seniore, Francesco (1478-1543)",>1,"",fiu_scrape
"(61) 6. ALBERT DE LUYNES, Paul d' (1703-1788)",4,4,fiu_scrape
"(71) 7. RINUCCINI, Giovanni (1743-1801)",4,4,fiu_scrape
"(1) 1. BOURCHIER, Thomas (ca. 1412-1486)",>2,>2,fiu_scrape
"(42) 16. CASINI, O.F.M.Cap., Francesco Maria (1648-1719)","","",fiu_scrape
"(9) 6. SPINOLA, Girolamo (1713-1784)",5,2,fiu_scrape
"(5) 4. CARAFA, Antonio (1538-1591)",>1,"",fiu_scrape
"(9) 1. QUIRINI, O.S.B.Cas., Angelo Maria (1680-1755)",3,3,fiu_scrape
"(37) 21. CORSI, Domenico Maria (1633-1697)","","",fiu_scrape
"(6) 1. NERLI, seniore, Francesco (1595-1670)",>2,>1,fiu_scrape
"(28) 5. PISANI, Luigi (1522-1570)",8,1,fiu_scrape
"(39) 2. BOSCHI, Giovanni Carlo (1715-1788)","","",fiu_scrape
"(131) 24. SANDOVAL ÍÑIGUEZ, Juan",12,,
"(53) 15. ROMEO, Paolo",9,5,
"(33) 4. LA CHAMBRE, O.S.B., Philippe de (ca.1490-1550)","",4,fiu_scrape
"(126) 19. CARLES GORDÓ, Ricardo María",2,2,
"(3) 2. GRIMALDI, Girolamo (1674-1733)",5,1,fiu_scrape
"(5) 1. CASALI, Antonio (1715-1787)",7,2,fiu_scrape
"(4) 4. AGOSTINI, Stefano (1614-1683)",8,5,fiu_scrape
"(25) 10. MARTÍNEZ SISTACH, Lluís",3,,
"(26) 1. CIBO, Camillo (1681-1743)","","",fiu_scrape
"(37) 2. NEGRONI, Andrea (1710-1789)",2,1,fiu_scrape
"(27) 8. BO, S.D.B., Charles Maung",>1,>1,fiu_scrape
"(22) 1. HURTADO DE MENDOZA Y QUIÑONES, Diego (1444-1502)","","",fiu_scrape
"(39) 12. SILVA, Miguel da (1480-1556)",7,2,fiu_scrape
"(73) 11. ALENCHERRY, George",10,6,
"(28) 3. SIMONETTI, Raniero Felice (1675-1749)",5,4,fiu_scrape
"(36) 6. MOSCOSO Y SANDOVAL, Baltasar (1589-1665)",10,2,fiu_scrape
"(7) 3. GROSSO DELLA ROVERE, Leonardo (1463-1520)",>1,"",fiu_scrape
"(3) 3. TIBERI, Francesco (1773-1839)",,2,
"(18) 17. FABRONI, Carlo Agostino (1651-1727)","","",fiu_scrape
"(89) 4. CASSIDY, Edward Idris",2,1,
"(2) 2. FERNÁNDEZ DE PORTOCARRERO, Joaquín (1681-1760)",7,4,fiu_scrape
(1582-1625),15,4,fiu_scrape
"(20) 6. HOWARD OF NORFOLK, O.P., Philip Thomas (1616-1694)","",3,fiu_scrape
"(1) 1. LUDOVISI, Ludovico (1595-1632)","","",fiu_scrape
(1608-1657),6,"",fiu_scrape
"(69) 1. BORJA-CENTELLES Y PONCE DE LEÓN, Carlos de (1663-1733)","",4,fiu_scrape
"(52) 1. LOMÉNIE DE BRIENNE, Étienne-Charles de (1727-1794)",3,2,fiu_scrape
"(13) 4. BALDESCHI COLONNA, Federico (1625-1691)","","",fiu_scrape
"(62) 1. FLANGINI, Ludovico (1733-1804)","","",fiu_scrape
"(23) 4. DEW, John Atcherley",3,"",fiu_scrape
"(31) 5. ZONDADARI, Antonfelice (1665-1737)","","",fiu_scrape
"(5) 2. FERNÁNDEZ DE PORTOCARRERO, Luis Manuel (1635-1709)",4,2,fiu_scrape
"(38) 3. ZAPATA Y CISNEROS, Antonio (1550-1635)",7,1,fiu_scrape
"(16) 16. COLONNA DI SCIARRA, Girolamo (1708-1763)",,,
"(30) 5. ROHAN-SOUBISE-VENTADOUR, François-Armand-Auguste de (1717-1756)",5,2,fiu_scrape
"(15) 10. ACQUAVIVA D'ARAGONA, Giulio (1546-1574)","","",fiu_scrape
"(34) 1. ARCHETTI, Giovanni Andrea (1731-1805)","","",fiu_scrape
"(69) 2. MEDICI, Giovanni Angelo de' (1499-1565)",11,2,fiu_scrape
"(31) 10. BONVISI, Bonviso (1551-1603)",>1,"",fiu_scrape
"(30) 3. PAOLI, O.Carm., Angelo (1642-1720)",7,"",fiu_scrape
"(74) 1. GUARINO, Giuseppe",5,2,
"(20) 2. CIOCCHI DEL MONTE, Antonio Maria (1461/1462-1533)",>2,>2,fiu_scrape
"(3) 2. PIERRE DE BERNIS, François-Joachim de (1715-1794)","","",fiu_scrape
"(16) 4. VIDMAN, Cristoforo (1617-1660)","","",fiu_scrape
"(3) 2. ALBANI, O.S.Io.Hieros., Alessandro (1692-1779)",9,9,fiu_scrape
"(30) 6. TRIVULZIO, seniore, Can. Reg. of Sant'Antonio, Antonio (1449-1508)","","",fiu_scrape
"(16) 6. GERDIL, C.R.S.P., Hyacinthe Sigismond (1718-1802)","","",fiu_scrape
"(55) 4. MAGLIONE, Luigi",>1,,
"(61) 10. GOMÁ TOMÁS, Isidro",9,4,
"(37) 22. NAVARRETE CORTÉS, S.J., Urbano",6,4,
"(70) 1. MERCATI, Giovanni",7,3,
"(22) 1. ÁLVAREZ DE TOLEDO, O.P., Juan (1488-1557)","","",fiu_scrape
"(25) 2. CZACKI, Włodzimierz",6,,
"(6) 1. ROHAN CHABOT, Louis-François-Auguste de (1788-1833)",7,1,
"(35) 2. LOURDUSAMY, Duraisamy Simon",12,7,
"(28) 7. DIETRICHSTEIN, Franz Seraph von (1570-1636)",13,9,fiu_scrape
"(58) 4. GRAY, Gordon Joseph",3,3,
"(40) 7. MAYER, O.S.B., Paul Augustin",3,,
"(26) 11. DANNEELS, Godfried",6,1,
"(32) 11. ESCOUBLEAU DE SOURDIS, François d' (1574-1628)","",1,fiu_scrape
"(26) 8. PETRUCCI, Alfonso (1491-1517)",11,2,fiu_scrape
"(56) 1. BORROMEO, Giberto Bartolomeo (1671-1740)",9,5,fiu_scrape
"(20) 2. LA ROCHEFOUCAULD, Dominique de (1712-1800)",11,8,fiu_scrape
"(16) 1. SANDRI, Leonardo","","",fiu_scrape
"(44) 5. PALLAVICINI, Lazzaro Opizio (1719-1785)",3,3,fiu_scrape
"(35) 2. SACRIPANTE, Carlo Maria (1689-1758)",10,1,fiu_scrape
"(14) 6. DELLA VALLE, Andrea (1463-1534)",4,2,fiu_scrape
"(22) 2. ARCHINTO, Giuseppe (1651-1712)",14,4,fiu_scrape
"(53) 2. PATRIZI, Giambattista (1658-1727)",8,6,fiu_scrape
"(4) 3. SERRA, Pedro (second third of the 14th century-1404)","","",fiu_scrape
"(26) 7. SERRA, Giacomo (around 1570-1623)",6,3,fiu_scrape
"(30) 22. VICH Y DE VALTERRA, Guillén-Ramón de (1460/1470-1525)","","",fiu_scrape
"(16) 13. ESTE, Luigi d' (1538-1586)",5,2,fiu_scrape
"(33) 1. CEREJEIRA, Manuel Gonçalves",8,,
"(24) 21. COLONNA, iuniore, Marcantonio (1724-1793)",15,4,fiu_scrape
"(7) 7. VISCONTI, Federico (1617-1693)",>6,1,fiu_scrape
"(1) 1. PAROLIN, Pietro",3,"",fiu_scrape
"(122) 15. WAMALA, Emmanuel",10,,
"(60) 4. MANGKHANEKHOUN, I.D.V., Louis Marie Ling",6,"",fiu_scrape
"(60) 2. MAILLY, François de (1658-1721)","",3,fiu_scrape
"(120) 13. EYT, Pierre",3,1,
"(8) 5. TEBALDI, Giacomo (?-1465)",>1,>1,fiu_scrape
"(85) 1. HARVEY, James Michael",5,1,
"(8) 8. PALEOLOGO DI MONTFERRATO, Teodoro (1425-1484)",6,4,fiu_scrape
"(7) 3. HARRACH, Ernest Adalbert von (1598-1667)","",2,fiu_scrape
"(8) 2. ARCHINTO, Giovanni (1736-1799)",4,2,fiu_scrape
"(72) 8. LANCELLOTTI, Filippo (1732-1794)",8,2,fiu_scrape
"LAUD, William (1573-1645)",1,1,fiu_scrape
"(176) 17. MCCARRICK, Theodore Edgar",1,1,https://www.britannica.com/biography/Theodore-McCarrick
"(30) 4. PIAZZA, Giulio (1663-1726)","","",fiu_scrape
"(8) 2. ORSINI, O.P., Vincenzo Maria (1649-1730)","","",fiu_scrape
"(92) 4. AVELINE, Jean-Marc",3,"",fiu_scrape
"(99) 14. BEVILACQUA, Anthony Joseph",11,9,
"(172) 13. GONZÁLEZ ZUMÁRRAGA, Antonio José",8,,
"(32) 24. CESI, Paolo Emilio (1481-1537)",12,1,fiu_scrape
"(73) 1. DELLA SOMAGLIA, Giulio Maria (1744-1830)","","",fiu_scrape
"(7) 7. PECCI, S.J., Giuseppe",7,5,
"(17) 17. KÖNIG, Franz",5,1,
"(100) 15. SALDARINI, Giovanni",3,1,
"(30) 1. VALENTI GONZAGA, Silvio (1690-1756)",4,2,fiu_scrape
"(1) 1. MILÀ, Lluís Joan del (ca. 1432/1433-1510)",9,4,fiu_scrape
"(101) 16. DALY, Cahal Brendan",7,3,
"BUONDELMONTE, Filippo (1691-1741)","","",fiu_scrape
"(14) 11. FERRERO, Pier Francesco (1510/1513-1566)",>1,"",fiu_scrape
"(44) 6. UBALDI, Benedetto (1588-1644)","","",fiu_scrape
"(15) 1. BRASCHI, Giovanni Angelo (1717-1799)",8,1,fiu_scrape
"(2) 1. DUBOIS, Guillaume (1656-1723)",4,2,fiu_scrape
"(29) 1. PASSIONEI, Domenico Silvio (1682-1761)",2,2,fiu_scrape
"(14) 1. PASSERI, Marcello (1678-1741)","","",fiu_scrape
"(42) 1. DELLA GENGA, Annibale (1760-1829)",10,6,
"(28) 2. DAVIA, Gianantonio (1660-1740)","",2,fiu_scrape
"(32) 5. NARO, Gregorio (1581-1634)","","",fiu_scrape
"(67) 3. MAURY, Jean-Siffrein (1746-1817)",4,"",fiu_scrape
"(68) 1. VERALLO, Girolamo (1497-1555)",12,1,fiu_scrape
"(57) 19. PATABENDIGE DON, Albert Malcolm Ranjith",4,1,
"(10) 5. GUADAGNI, O.C.D., Giovanni Antonio (1674-1759)",1,1,fiu_scrape
"(25) 6. COLONNA, Girolamo (1604-1666)",11,2,fiu_scrape
"(210) 9. OKOGIE, Anthony Olubunmi",>1,1,
"(13) 12. PALLAVICINO, Rannuzio (1632-1712)","","",fiu_scrape
"(4) 4. STELLA, Beniamino",12,2,fiu_scrape
"(34) 10. FERRERO, Gianstefano (1474-1510)",14,5,fiu_scrape
"(21) 3. LLUCH Y GARRIGA, O.C.D., Joaquín",13,,
"(12) 12. SPINOLA, iuniore, Giambattista (1646-1719)",6,1,fiu_scrape
"(33) 25. CESARINI, seniore, Alessandro (last quarter of the 15th century-1542)",3,2,fiu_scrape
"(68) 11. CEVA, Francesco Adriano (1580-1655)","","",fiu_scrape
"(10) 10. BASSETTI, Gualtiero",3,1,fiu_scrape
"(29) 4. ROCHECHOUART DE FAUDOAS, Jean-François-Joseph (1708-1777)",11,5,fiu_scrape
"(31) 17. LANCELLOTTI, Scipione (1527-1598)",4,2,fiu_scrape
"(135) 5. BOSCHI, Giulio",11,11,
"(6) 6. BARNI, Giovanni Battista (1676-1754)","","",fiu_scrape
"(1) 1. LEVADA, William Joseph",2,2,
"(59) 5. MCKEEFRY, Thomas Peter",7,5,
"(42) 4. DURAZZO, Stefano (1594-1667)",7,7,fiu_scrape
(1613-1665),"","",fiu_scrape
"(23) 4. CESARINI, iuniore, Alessandro (1592-1644)","","",fiu_scrape
"(201) 42. DULLES, S.J., Avery",3,3,https://en.wikipedia.org/wiki/John_Foster_Dulles#Personal_life
"(37) 10. ROCCI, Ciriaco (1581 or 1582-1651)",>1,"",fiu_scrape
"(25) 4. TOSCHI, Domenico (1535-1620)",12,"",fiu_scrape
"(13) 13. CASTALDO, Alfonso",5,3,
"(9) 2. DU PLESSIS DE RICHELIEU, Armand-Jean (1585-1642)",>1,"",fiu_scrape
"(36) 1. NORONHA, Miguel Carlos José de (1744-1803)",,4,
"(190) 31. BERGOGLIO, S.J., Jorge Mario",5,1,
"(13) 1. RIVIERA, Domenico (1671-1752)","","",fiu_scrape
"(6) 1. COSCIA, Niccolò (1682-1755)",6,1,fiu_scrape
"(16) 12. GUZMÁN DE HAROS, Enrique (1604 or 1605-1626)","","",fiu_scrape
"(6) 6. BRENES SOLÓRZANO, Leopoldo José",4,"",fiu_scrape
"(70) 29. LANTE, Antonio (1737-1817)",,,
"(32) 6. ARIAS Y PORRES, O.S.Io.Hieros., Manuel (1638-1717)","","",fiu_scrape
"(79) 4. GREGORY, Wilton Daniel",3,"",fiu_scrape
"(48) 3. BRAGADIN, Marcantonio (1591-1658)",4,"",fiu_scrape
(1667-1740),1,1,fiu_scrape
"(21) 2. CLEMENTE, Manuel José Macário do Nascimento",4,3,fiu_scrape
"(70) 13. DONGHI, Giovanni Stefano (1608-1669)","","",fiu_scrape
"(133) 26. ŚWIĄTEK, Kazimierz",3,2,
"(55) 5. NOGARET DE LA VALETTE, Louis de (1593-1639)",>3,>2,fiu_scrape
"(18) 18. DANTE, Enrico",>1,,
"(34) 19. DELLY, Emmanuel III",,,
"(15) 2. VIDONI, seniore, Pietro (1610-1681)",3,1,fiu_scrape
"(18) 3. SABATTANI, Aurelio",,,
"(12) 2. MOSCA, Agapito (1678-1760)","","",fiu_scrape
"(37) 3. RANUZZI, Vincenzo (1726-1800)",5,2,fiu_scrape
"(32) 2. TENCIN, Pierre-Guérin de (1680-1758)",>2,"",fiu_scrape
"(34) 7. TRIVULZIO, Giangiacomo Teodoro (1597-1656)",4,"",fiu_scrape
"(66) 8. PEREIRA DE LACERDA, José (1662-1738)","","",fiu_scrape
"(7) 3. GUISE, Louis II de (1555-1588)","",3,fiu_scrape
"(6) 3. MERLINI, Ludovico (1690-1762)",2,2,fiu_scrape
"LA VALETTE, O.S.Io.Hieros., Jean Parisot de (1494-1568)",6,2,fiu_scrape
"(63) 22. DE SIMONE, Camillo (1737-1817)",2,2,
"(6) 2. ACQUAVIVA D'ARAGONA, Pasquale (1718-1788)",8,2,fiu_scrape
"(51) 6. VEROSPI, Girolamo (1599-1652)","","",fiu_scrape
"(5) 5. BUONVISI, Girolamo (1607-1677)","","",fiu_scrape
"(38) 5. PIO, iuniore, Carlo (1622-1689)","","",fiu_scrape
"(22) 7. FARINA, S.D.B., Raffaele",>2,,
"(115) 8. WINNING, Thomas Joseph",2,1,
"(1) 1. FARNESE, iuniore, Alessandro (1520-1589)","",1,fiu_scrape
"(3) 3. MEDICI, iuniore, Giovanni de' (1543 or 1544-1562)",10,4,fiu_scrape
"(104) 19. SCHWERY, Henri",11,11,
"(22) 7. SANSONI RIARIO, Raffaele (1461-1521)","","",fiu_scrape
"(101) 2. SATOLLI, Francesco di Paola",,,
"(23) 1. MAILLARD DE TOURNON, Charles Thomas (1668-1710)","","",fiu_scrape
"(29) 14. LUSTIGER, Jean-Marie",>1,,
"(10) 1. DELLA ROVERE, Girolamo (1528-1592)",>2,"",fiu_scrape
"(9) 9. O'MALLEY, O.F.M. Cap., Seán Patrick",3,2,https://en.wikipedia.org/wiki/Se%C3%A1n_Patrick_O%27Malley
"(37) 18. RAUBER, Karl-Joseph",1,1,fiu_scrape
"(65) 4. BECCIU, Giovanni Angelo",4,"",fiu_scrape
"(19) 19. TANARA, Alessandro (1680-1754)",4,2,fiu_scrape
"(56) 23. GAGNON, P.S.S., Édouard",13,,
"(11) 11. DUVAL, Léon-Étienne",7,6,
"(24) 1. FREGOSO, Paolo (1428-1498)","","",fiu_scrape
"(45) 11. CARRARA, Francesco (1716-1793)","","",fiu_scrape
"(13) 1. CARAFA DELLA SPINA, Francesco (1722-1818)",10,1,fiu_scrape
"(26) 1. MENDOZA, Álvaro de (1671-1761)","","",fiu_scrape
"(1) 1. DAMASCENI PERETTI, Alessandro (1571-1623)",4,1,fiu_scrape
"(54) 9. GABRIELLI, Giulio (1601-1677)",2,1,fiu_scrape
"(8) 1. TORRES, Cosimo de (1584-1642)","","",fiu_scrape
"(16) 13. ORSI, O.P., Giuseppe Agostino (1692-1761)","","",fiu_scrape
"(5) 4. ROLIN, Jean (1408-1483)","","",fiu_scrape
"(3) 2. CAPRANICA, Domenico (1400-1458)",>1,"",fiu_scrape
"(7) 6. CAETANI, Bonifazio (1567 or 1568-1617)",8,4,fiu_scrape
"(2) 2. FRANCIOTTI DELLA ROVERE, Galeotto (1471-1507)","","",fiu_scrape
"(84) 22. BECKER, S.J., Karl Josef",4,3,
"(14) 14. GINETTI, Gianfrancesco (1626-1691)",14,11,fiu_scrape
"(4) 3. BARBERINI, Maffeo (1568-1644)",6,5,fiu_scrape
"(89) 5. SALAZAR GÓMEZ, Rubén","","",fiu_scrape
"(27) 7. CORRADI, Giacomo (1602-1666)",>1,"",fiu_scrape
"MARRACCI, O.M.D., Ludovico (1612-1700)",2,2,fiu_scrape
"(14) 9. RUSTICUCCI, Girolamo (1537-1603)",4,4,fiu_scrape
"(73) 12. REVOLLO BRAVO, Mario",6,3,
"(191) 32. POLICARPO, José da Cruz",9,1,
"(41) 8. SUQUÍA GOICOECHEA, Ángel",13,,
"(64) 2. MENDONÇA, José Tolentino Calaça de",5,5,fiu_scrape
"(30) 3. SANGUIN DE MEUDON, Antoine (1502-1559)",>1,>1,fiu_scrape
"(20) 1. VEROSPI, Fabrizio (1571-1639)","","",fiu_scrape
"(58) 2. CSÁKY, Imre (1672-1732)","","",fiu_scrape
(1773-1837),,1,
"(117) 10. DARMAATMADJA, S.J., Julius Riyadi",6,6,
"(22) 1. NASALLI, Ignazio (1750-1831)",7,4,
"(83) 8. LOJUDICE, Augusto Paolo",3,"",fiu_scrape
"(43) 2. TASCHEREAU, Elzéar-Alexandre",7,,
"(5) 3. SIMONETA, Giacomo (1475-1539)",>2,"",fiu_scrape
"(43) 27. ESTE, Rinaldo d' (1655-1737)",1,1,fiu_scrape
"(59) 2. POLI, Fausto (1581-1653)","","",fiu_scrape
"(80) 5. ADVINCULA, Jose Fuerte",12,>1,fiu_scrape
"(23) 3. CHIGI, Fabio (1599-1667)","","",fiu_scrape
"(24) 1. GOZZADINI, Ulisse Giuseppe (1650-1728)","","",fiu_scrape
"(14) 14. CONTI, Lucido (1388-1437)",8,3,fiu_scrape
"(23) 2 ROJAS Y SANDOVAL, Bernardo de (1546-1618)",6,2,fiu_scrape
"(4) 1. BANDITI, Theat., Francesco Maria (1706-1796)","","",fiu_scrape
"(29) 1. HRZÁN Z HARASOVA, František de Paula (1735-1804)","","",fiu_scrape
"(82) 7. SIM, Cornelius",6,1,fiu_scrape
"(214) 13. RIGALI, Justin Francis",7,7,
"(39) 1. AMATO, S.D.B., Angelo",4,1,
"(19) 18. COLONNA, Carlo (1665-1739)","",3,fiu_scrape
"(44) 9. DEL BUFALO, Innocenzo (1565 or 1566-1610)",5,2,fiu_scrape
"(8) 4. SPADA, Bernardino (1594-1661)","","",fiu_scrape
"(46) 7. PORRAS CARDOZO, Baltazar Enrique",8,1,fiu_scrape
"(12) 1. WAZA, S.J., Jan Kazimierz (1609-1672)",7,3,fiu_scrape
"(50) 11. PICCOLOMINI, Enea Silvio (1709-1768)",8,2,fiu_scrape
"(49) 10. PIRELLI, Filippo Maria (1708-1771)","","",fiu_scrape
"(29) 2. BOURBON DEL MONTE, Francesco Maria (1549-1626)",13,5,fiu_scrape
"(36) 9. WAZA, S.J., Jan Olbracht (1612-1634)",5,"",fiu_scrape
"(4) 1. FIRRAO, Giuseppe (1736-1830)",3,2,
"(72) 10. VERSALDI, Giuseppe",2,,
"(19) 5. CAPPONI, Luigi (1583-1659)",4,3,fiu_scrape
"(7) 7. MEDICI, Giovanni de' (1475-1521)","","",fiu_scrape
"(43) 17. ORIGO, Curzio (1661-1737)",4,1,fiu_scrape
"(57) 12. ESTE, Rinaldo d' (1618-1672)",14,7,fiu_scrape
"(31) 4. PALLOTTA, Giovanni Battista Maria (1594-1668)",5,1,fiu_scrape
"(14) 14. RUBIN, Władysław",6,,
"(20) 17. CRIVELLI, Carlo (1736-1818)",6,6,
"(40) 6. CHIARAMONTI, O.S.B.Cas., Gregorio Barnaba (1742-1823)","","",fiu_scrape
"(10) 10. CAPIZUCCHI, O.P., Raimondo (1615-1691)","","",fiu_scrape
"(3) 3. ALDOBRANDINI, Pietro (1571-1621)",2,1,fiu_scrape
"STRASOLDO, Raymund Anton von (1718-1781)","","",fiu_scrape
"(1) 1. MAREFOSCHI, Mario (1714-1780)",3,2,fiu_scrape
"(26) 8. SOUSA E SILVA, Fernando de (1712-1786)",28,6,fiu_scrape
"(98) 4. FERRARI, Andrea Carlo",4,1,
"(12) 7. GONZAGA, Pirro (1505-1529)",10,3,fiu_scrape
"(17) 4. ARAGÓN, Pascual de (1626-1677)",9,9,fiu_scrape
"(59) 1. POTIER DE GESVRES, Léon (1656-1744)","",2,fiu_scrape
"(42) 3. ACQUAVIVA D'ARAGONA, Giovanni Vincenzo (1490/1495-1546)","","",fiu_scrape
"(61) 4. MATTEI, Gasparo (1598/1599-1650)",>1,1,fiu_scrape
"(14) 10. CAVALIERI, Giacomo (1566-1629)","","",fiu_scrape
"(33) 12. ESTE, Alessandro d' (1568-1624)","","",fiu_scrape
"(13) 1. SAVELLI, Fabrizio (1607-1659)","","",fiu_scrape
(1651-1726),6,5,fiu_scrape
"(19) 5. ALBERIZZI, Mario (1609-1680)","","",fiu_scrape
"(68) 6. COCCOPALMERIO, Francesco","","",fiu_scrape
"(36) 1. OLIVIER-RAZALI, Séraphin (1538-1609)","","",fiu_scrape
"(52) 13. TOBIN, C.Ss.R., Joseph William",13,1,fiu_scrape
"(9) 6. LONGUEIL, Richard Olivier de (1407-1470)","","",fiu_scrape
"(23) 2. FERNÁNDEZ MANRIQUE, Pedro (ca. 1500-1540)","","",fiu_scrape
"(27) 19. VIO, O.P., Tommaso (1469-1534)",4,4,fiu_scrape
"(33) 6. VIRILI, Luca Antonio (1569-1634)","","",fiu_scrape
"(14) 2. MAZARIN, O.P., Michel (1605-1648)",>1,"",fiu_scrape
"(16) 1. DELLA ROVERE, Cristoforo (1434-1478)",>1,"",fiu_scrape
(1694-1768),"",2,fiu_scrape
"(40) 7. AZZOLINI, iuniore, Decio (1623-1689)",14,5,fiu_scrape
"(50) 7. DALLA COSTA, Elia",5,5,
"(2) 2. VECCHI, Bernardino de' (1699-1775)","","",fiu_scrape
"(35) 27. RIDOLFI, Niccolò (1501-1550)",7,4,fiu_scrape
"(41) 18. CRÉQUI CANAPLES, Antoine de (1531-1574)",>3,"",fiu_scrape
"(30) 2. BOURDEILLES, O.F.M.Obs., Hélie de (ca. 1413-1484)",>4,>4,fiu_scrape
"(28) 7. REZZONICO, seniore, Carlo (1693-1769)",2,2,fiu_scrape
"(41) 2. NZAPALAINGA, C.S.Sp., Dieudonné",14,5,fiu_scrape
"(32) 4. SCHIAFFINATI, Giovanni Giacomo (1451-1497)",>3,"",fiu_scrape
"(27) 11. LE CAMUS, Étienne (1632-1707)","","",fiu_scrape
"(24) 5. BARBERINI, iuniore, O.S.Io.Hieros., Antonio (1607-1671)",>2,>1,fiu_scrape
"(22) 3. BICHI, Metello (1541-1619)","","",fiu_scrape
"(64) 4. FARNESE, O.S.Io.Hieros., Ranuccio (1530-1565)",4,4,fiu_scrape
"(78) 16. DOLAN, Timothy Michael",5,1,
"(48) 1. GONDI, Henri de (1563-1622)",10,2,fiu_scrape
"(68) 10. SALERNI, S.J., Giovanni Battista (1670-1729)","","",fiu_scrape
"(1) 1. REZZONICO, iuniore, Carlo (1724-1799)",5,2,fiu_scrape
"(5) 5. SAPIEHA, Adam Stefan",7,7,
"(207) 6. HAMAO, Stephen Fumio",2,2,
"(18) 2. PALLAVICINI, Opizio (1632-1700)",6,4,fiu_scrape
"(4) 1. ROSSI, Ferdinando Maria de (1696-1775)","","",fiu_scrape
"(96) 8. MCELROY, Robert Walter",5,"",fiu_scrape
"(61) 9. CAMPANELLI, Filippo (1739-1795)","","",fiu_scrape
"(42) 5. DURINI, Carlo Francesco (1693-1769)",9,9,fiu_scrape
"(7) 2. CARAFA, Gianvincenzo (1477-1541)",5,3,fiu_scrape
"(121) 14. AGUSTONI, Gilberto",6,,
"(40) 17. CRIVELLI, Alessandro (1514-1574)",4,4,fiu_scrape
"(104) 5. GOTTI, O.C.D., Girolamo Maria",5,2,
"(23) 23. HERRERA ORIA, Ángel",15,13,
"MENDOZA Y PACHECO, Francisco de (1494-1544)","",3,fiu_scrape
"(2) 2. CONSALVI, Ercole (1757-1824)",5,1,
