cardinal,total_sibs,birth_order,source
"(37) 3. SODERINI, Francesco (1453-1524)",7,6,fiu_scrape
"(15) 2. SPINOLA, Giovanni Battista (1681-1752)",7,1,fiu_scrape
"(6) 6. GHERARDI, O.S.B.Cam., Maffeo (1406-1492)",>1,>1,fiu_scrape
"(37) 5. MAC RORY, Joseph",10,,
"(14) 5. BASADONNA, Pietro (1617-1684)",5,2,fiu_scrape
"(24) 6. CORSINI, Neri (1614-1678)",4,"",fiu_scrape
"(7) 1. BONZI, Pierre de (1631-1703)","","",fiu_scrape
"(54) 16. WUERL, Donald William",4,2,
"(12) 12. ZEN ZE-KIUN, S.D.B., Joseph","","",fiu_scrape
(1628-1714),"","",fiu_scrape
"(6) 1. MAFFEI, Marcantonio (1521-1583)",8,3,fiu_scrape
"(10) 3. RIDOLFI, Ottavio (1582-1624)",>2,"",fiu_scrape
"(24) 21. LATIER DE BAYANE, Alphonse-Hubert de (1739-1818)",,3,
"(36) 10. ROHAN, Armand-Gaston-Maximilien de (1674-1749)",11,5,fiu_scrape
"(38) 1. FERONI, Giuseppe Maria (1693-1767)","","",fiu_scrape
"(50) 17. VACHON, Louis-Albert",6,,
"(9) 1. NASALLI ROCCA DI CORNELIANO, Giovanni Battista",3,2,
"(10) 1. NERLI, iuniore, Francesco (1636-1708)",>1,1,fiu_scrape
"(70) 8. O'BRIEN, Edwin Frederick",3,1,
"(25) 25. ORSINI D'ARAGONA, Domenico (1719-1789)","","",fiu_scrape
"(71) 10. JAVIERRE ORTAS, S.D.B., Antonio María",>2,,
"(19) 14. BURALI D'AREZZO, Theat., Paolo (1511-1578)","",2,fiu_scrape
"(11) 7. ODESCALCHI, Benedetto (1611-1689)",>2,"",fiu_scrape
"(51) 18. DECOURTRAY, Albert",4,,
"(8) 8. GARIBI RIVERA, José",3,3,
"(8) 8. FERRARI, O.P., Tommaso Maria (1649-1716)",6,6,fiu_scrape
"(13) 13. MOTTA, Carlos Carmelo de Vasconcelos",,2,
"(21) 20. GRIMALDI, Nicola (1645-1717)","","",fiu_scrape
"(8) 5. GUALTERIO, Luigi (1706-1761)","","",fiu_scrape
"(8) 8. KUTWA, Jean-Pierre",10,10,fiu_scrape
"(33) 18. NJUE, John","","",fiu_scrape
"(20) 2. CLES, Bernhard von (1485-1539)",9,"",fiu_scrape
"(23) 2. ALBRET, Amanieu d' (ca. 1478-1520)",>1,"",fiu_scrape
"(38) 4. MONCADA DE ARAGÓN, Luis Guillermo de (1614-1673?)","",2,fiu_scrape
"(39) 2. SERBELLONI, Fabrizio (1695-1775)",6,4,fiu_scrape
"NERI, Orat., Filippo (1515-1595)",>1,>1,fiu_scrape
"(24) 9. BRADY, Seán Baptist",3,,
"(27) 8. LANCELLOTTI, Orazio (1571-1620)",7,1,fiu_scrape
"(17) 14. GUGLIELMI, Pietro Girolamo (1694-1773)",4,3,fiu_scrape
"(65) 11. FLAHIFF, C.S.B., George Bernard",9,4,
"(64) 6. BARBARIGO, Giovanni Francesco (1658-1730)",3,1,fiu_scrape
"(27) 4. NICOLINI, Angelo (1502-1567)",>3,1,fiu_scrape
"(22) 1. GOTTI, O.P., Vincenzo Ludovico (1664-1742)","","",fiu_scrape
"(27) 8. GUIDI DI BAGNO, Giovanni Francesco (1578-1641)","","",fiu_scrape
"(101) 13. BAAWOBR, M.Afr., Richard Kuuia",1,1,fiu_scrape
(1645-1702),"","",fiu_scrape
"(35) 10. CAPRARA, Cornelio (1703-1765)",4,3,fiu_scrape
"BUSLEIDEN, François (1450-1502)",8,2,fiu_scrape
"(13) 13. RICCI, Francesco (1679-1755)","","",fiu_scrape
"(11) 6. ANGENNES DE RAMBOUILLET, Charles d' (1530-1587)",9,1,fiu_scrape
"(49) 12. GALLI, Can. Reg. Lat., Antonio Andrea (1697-1767)","","",fiu_scrape
"(72) 10. CZERNY, S.J., Michael",2,"",fiu_scrape
"(10) 9. GUALTERIO, Filippo Antonio (1660-1728)",17,1,fiu_scrape
"(28) 10. GUIDI, Romoaldo (1722-1780)",6,1,fiu_scrape
"(63) 1. FILONI, Fernando",3,,https://insidethevatican.com/magazine/lead-story/profiles-of-the-new-cardinals/
"(15) 13. CORNARO, Luigi (1517-1584)",10,1,fiu_scrape
"(14) 14. OUÉDRAOGO, Philippe Nakellentuba","","",fiu_scrape
"(10) 1. LA ROCHE-AYMON, Charles-Antoine de (1697-1777)",3,3,fiu_scrape
"(28) 1. NOAILLES, Louis-Antoine de (1651-1729)",>1,>1,fiu_scrape
"(10) 10. PALLAVICINO, S.J., Francesco Maria Sforza (1607-1667)","",1,fiu_scrape
"(22) 1. GONZAGA, Federico (1540-1565)",>2,>1,fiu_scrape
"(10) 10. BALLESTRERO, O.C.D., Anastasio Alberto",5,1,
"(47) 10. MILLO, Giovanni Giacomo (1695-1757)",4,2,fiu_scrape
"(50) 1. AUSTRIA, Fernando de (1609-1641)",8,3,fiu_scrape
"(67) 5. AMBONGO BESUNGU, O.F.M.Cap., Fredolin",11,"",fiu_scrape
"(9) 9. TEMPESTA, O. Cist., Orani João",9,9,fiu_scrape
"(100) 12. COSTA, Paulo Cezar","","",fiu_scrape
"(13) 3. MARTÍNEZ DE MURILLO, O.Cis., Juan (second third of the 14th century-1420)","","",fiu_scrape
"(7) 3. BARBARIGO, Angelo (ca. 1350-1418)","","",fiu_scrape
"(20) 12. BOURBON DE VENDÔME, Louis II de (1493-1557)","",4,fiu_scrape
"(12) 9. DELLA PORTA, seniore, Ardicino (Second half of the 14th century-1434)","","",fiu_scrape
"(55) 3. BUSCA, Ignazio (1731-1803)",5,5,fiu_scrape
